rank,row,col,utility,suitability,basis_match,block_row,block_col
1,106,70,0.9847899675369263,0.9765999913215637,1,6,4
2,92,70,0.9845285415649414,0.9761977195739746,1,5,4
3,85,64,0.9806931018829346,0.9702970385551453,1,5,4
4,78,89,0.9737709760665894,0.9596477150917053,1,4,5
5,100,64,0.9734351634979248,0.959131121635437,1,6,4
6,77,60,0.9658023118972778,0.9473882913589478,1,4,3
7,92,89,0.9552402496337891,0.931138813495636,1,5,5
8,98,64,0.9541659355163574,0.9294861555099487,1,6,4
9,85,63,0.9518774747848511,0.9259653091430664,1,5,3
10,77,89,0.9505373239517212,0.9239036440849304,1,4,5
11,106,71,0.950379490852356,0.9236608147621155,1,6,4
12,78,90,0.950126051902771,0.9232708215713501,1,4,5
13,86,64,0.945518970489502,0.9161831140518188,1,5,4
14,105,70,0.9441434144973755,0.9140667915344238,1,6,4
15,84,64,0.9432739019393921,0.9127291440963745,1,5,4
16,99,76,0.941301703453064,0.9096949696540833,1,6,4
17,100,63,0.9394259452819824,0.9068091511726379,1,6,3
18,107,71,0.9384701251983643,0.9053386449813843,1,6,4
19,98,63,0.936565637588501,0.9024087190628052,1,6,3
20,77,70,0.9362605810165405,0.901939332485199,1,4,4
21,85,83,0.9308923482894897,0.8936806321144104,1,5,5
22,92,71,0.9298645257949829,0.8920992612838745,1,5,4
23,79,70,0.9283299446105957,0.8897385001182556,1,4,4
24,77,90,0.9276914596557617,0.8887560963630676,1,4,5
25,99,77,0.9272844791412354,0.8881300091743469,1,6,4
26,92,90,0.9267071485519409,0.8872417211532593,1,5,5
27,106,69,0.9209197759628296,0.8783381581306458,1,6,4
28,100,76,0.920128583908081,0.877120852470398,1,6,4
29,78,71,0.9189283847808838,0.8752744197845459,1,4,4
30,79,90,0.9160184860229492,0.8707976937294006,1,4,5
31,86,63,0.916018009185791,0.8707969784736633,1,5,3
32,107,87,0.9137083292007446,0.8672437071800232,1,6,5
33,93,71,0.9115386009216309,0.8639056086540222,1,5,4
34,85,76,0.9113451242446899,0.8636078834533691,1,5,4
35,100,65,0.9112129211425781,0.8634044528007507,1,6,4
36,91,89,0.9087817668914795,0.8596643805503845,1,5,5
37,99,83,0.9063122272491455,0.855864942073822,1,6,5
38,93,90,0.9052302837371826,0.854200541973114,1,5,5
39,96,61,0.9041473865509033,0.8525344133377075,1,6,3
40,71,76,0.902680516242981,0.8502777218818665,1,4,4
41,78,69,0.9025999307632446,0.8501538038253784,1,4,4
42,99,94,0.9013277292251587,0.8481966257095337,1,6,5
43,98,76,0.8974415063858032,0.8422176837921143,1,6,4
44,91,90,0.8963892459869385,0.8405989408493042,1,5,5
45,107,69,0.8960447311401367,0.8400688767433167,1,6,4
46,103,67,0.8957148790359497,0.839561402797699,1,6,4
47,91,69,0.8946399688720703,0.8379077315330505,1,5,4
48,105,71,0.892835259437561,0.8351312279701233,1,6,4
49,101,93,0.8915923833847046,0.8332191705703735,1,6,5
50,93,69,0.8883489370346069,0.8282292485237122,1,5,4
51,84,83,0.8880016803741455,0.8276949524879456,1,5,5
52,86,83,0.8860023021697998,0.8246190547943115,1,5,5
53,85,82,0.8831214904785156,0.8201869130134583,1,5,5
54,92,83,0.8829629421234131,0.8199430108070374,1,5,5
55,78,88,0.8826842308044434,0.8195141553878784,1,4,5
56,84,76,0.8811719417572021,0.8171876072883606,1,5,4
57,71,67,0.8804154396057129,0.8160237669944763,1,4,4
58,79,71,0.8801796436309814,0.8156609535217285,1,4,4
59,77,69,0.8793314695358276,0.8143560886383057,1,4,4
60,100,83,0.877274751663208,0.8111920356750488,1,6,5
61,107,83,0.8764442205429077,0.8099142909049988,1,6,5
62,88,67,0.8762043714523315,0.8095451593399048,1,5,4
63,96,73,0.8751870393753052,0.8079801201820374,1,6,4
64,79,59,0.8751105070114136,0.8078622817993164,1,4,3
65,102,66,0.874061107635498,0.8062478303909302,1,6,4
66,95,73,0.8734920024871826,0.805372416973114,1,5,4
67,78,77,0.8729405403137207,0.8045240044593811,1,4,4
68,92,58,0.8699038028717041,0.7998519539833069,1,5,3
69,106,82,0.869178056716919,0.7987355589866638,1,6,5
70,72,76,0.8686480522155762,0.7979200482368469,1,4,4
71,86,77,0.86859130859375,0.7978329062461853,1,5,4
72,86,76,0.8673012256622314,0.79584801197052,1,5,4
73,70,76,0.8668210506439209,0.7951093316078186,1,4,4
74,98,65,0.866814374923706,0.7950990796089172,1,6,4
75,84,77,0.8641213178634644,0.7909559607505798,1,5,4
76,96,74,0.8633036613464355,0.7896980047225952,1,6,4
77,93,83,0.8619084358215332,0.7875514030456543,1,5,5
78,103,68,0.86188805103302,0.7875200510025024,1,6,4
79,103,80,0.861858606338501,0.7874748706817627,1,6,5
80,72,83,0.8608368635177612,0.7859028577804565,1,4,5
81,103,66,0.8603967428207397,0.7852258682250977,1,6,4
82,70,81,0.8595974445343018,0.7839961647987366,1,4,5
83,98,83,0.8590197563171387,0.783107340335846,1,6,5
84,78,76,0.8588593006134033,0.782860517501831,1,4,4
85,85,95,0.8587213754653931,0.7826483845710754,1,5,5
